episode,return_per_episode,num_frames_per_episode
1,282.5,65.0
2,302.5,65.0
3,302.5,65.0
4,382.5,8.0
5,366.5,26.0
6,810.0,54.0
7,85.5,62.0
8,535.5,110.0
9,-315.0,113.0
10,-285.0,122.0
11,391.5,5.0
12,385.5,7.0
13,866.0,48.0
14,380.0,56.0
15,524.0,34.0
16,442.0,40.0
17,316.0,50.0
18,-352.0,9.0
19,439.0,16.0
20,283.0,53.0
21,63.5,58.0
22,294.5,61.0
23,505.0,38.0
24,542.5,41.0
25,436.5,43.0
26,228.5,44.0
27,329.5,64.0
28,298.5,71.0
29,160.5,73.0
30,391.5,5.0
31,-319.5,45.0
32,230.0,58.0
33,714.0,61.0
34,-152.0,67.0
35,198.0,79.0
36,421.5,18.0
37,338.0,34.0
38,472.0,54.0
39,198.0,69.0
40,-845.0,93.0
41,892.5,98.0
42,557.5,113.0
43,510.5,120.0
44,363.5,150.0
45,-588.0,150.0
46,993.0,158.0
47,-229.5,166.0
48,320.0,26.0
49,435.0,47.0
50,396.5,3.0
51,348.0,14.0
52,339.0,16.0
53,402.5,22.0
54,243.5,44.0
55,451.0,44.0
56,377.0,34.0
57,326.5,59.0
58,394.5,4.0
59,475.5,10.0
60,401.0,37.0
61,282.0,58.0
62,410.5,58.0
63,389.0,6.0
64,175.5,37.0
65,345.0,42.0
66,340.0,53.0
67,711.0,62.0
68,130.5,79.0
69,-76.0,84.0
70,481.0,9.0
71,455.5,14.0
72,389.0,22.0
73,594.5,25.0
74,-338.0,7.0
75,465.0,12.0
76,-311.5,17.0
77,348.0,13.0
78,398.5,22.0
79,516.5,35.0
80,375.5,48.0
81,154.5,74.0
82,160.0,84.0
83,391.5,5.0
84,389.5,6.0
85,474.0,12.0
86,360.0,37.0
87,1071.0,41.0
88,850.5,45.0
89,861.5,50.0
90,440.0,57.0
91,493.5,5.0
92,-391.5,17.0
93,522.0,34.0
94,406.0,39.0
95,418.0,41.0
96,434.5,47.0
97,339.5,18.0
98,461.5,55.0
99,462.0,57.0
100,400.0,1.0
101,440.0,27.0
102,326.5,46.0
103,663.0,57.0
104,-695.0,58.0
105,656.5,97.0
106,673.5,99.0
107,1.0,99.0
108,113.5,110.0
109,331.0,33.0
110,480.0,41.0
111,481.5,9.0
112,444.0,18.0
113,358.5,27.0
114,524.0,42.0
115,468.0,27.0
116,145.0,52.0
117,403.0,59.0
118,470.5,11.0
119,341.5,15.0
120,436.0,17.0
121,409.5,23.0
122,1004.5,51.0
123,346.0,70.0
124,738.5,72.0
125,643.5,80.0
126,753.5,81.0
127,353.0,94.0
128,1534.5,94.0
129,1162.5,118.0
130,1001.5,130.0
131,673.5,143.0
132,512.5,148.0
133,1513.5,176.0
134,-693.0,182.0
135,408.5,21.0
136,307.0,25.0
137,288.0,33.0
138,732.5,77.0
139,619.0,96.0
140,-111.0,103.0
141,-35.0,116.0
142,385.5,7.0
143,444.5,16.0
144,369.5,26.0
145,447.0,28.0
146,431.0,48.0
147,802.5,56.0
148,286.0,65.0
149,412.5,19.0
150,373.0,30.0
151,415.5,45.0
152,279.0,47.0
153,169.5,61.0
154,916.0,64.0
155,963.5,86.0
156,479.5,86.0
157,748.5,92.0
158,628.5,98.0
159,584.0,112.0
160,-274.5,140.0
161,395.0,4.0
162,-346.5,7.0
163,392.5,5.0
164,431.5,17.0
165,352.5,26.0
166,420.5,50.0
167,487.5,7.0
168,414.0,19.0
169,404.5,24.0
170,400.5,43.0
171,398.5,2.0
172,464.5,12.0
173,356.5,13.0
174,418.5,38.0
175,823.0,44.0
176,459.0,47.0
177,310.5,57.0
178,400.5,23.0
179,366.0,39.0
180,390.5,45.0
181,439.0,49.0
182,335.0,55.0
183,385.0,8.0
184,480.5,23.0
185,462.0,37.0
186,433.0,45.0
187,396.0,48.0
188,512.0,21.0
189,354.0,34.0
190,390.0,53.0
191,308.0,70.0
192,395.0,4.0
193,525.0,19.0
194,978.5,29.0
195,454.5,31.0
196,285.5,70.0
197,912.5,70.0
198,85.0,78.0
199,263.0,31.0
200,496.5,40.0
