episode,return_per_episode,num_frames_per_episode
1,-317.0,3.0
2,-317.0,3.0
3,-317.0,3.0
4,-317.0,3.0
5,383.0,39.0
6,397.0,3.0
7,389.0,6.0
8,389.0,6.0
9,389.0,6.0
10,-323.0,8.0
11,427.5,33.0
12,385.5,7.0
13,379.0,8.0
14,379.5,10.0
15,372.5,10.0
16,379.5,10.0
17,815.5,37.0
18,271.0,42.0
19,400.0,1.0
20,400.0,1.0
21,398.5,2.0
22,497.0,3.0
23,916.0,26.0
24,831.5,42.0
25,255.5,48.0
26,396.5,3.0
27,449.5,17.0
28,351.5,31.0
29,782.5,34.0
30,345.0,37.0
31,321.0,40.0
32,457.5,16.0
33,497.0,27.0
34,406.5,42.0
35,228.5,46.0
36,372.5,10.0
37,363.0,12.0
38,426.0,19.0
39,510.0,22.0
40,959.5,37.0
41,765.5,43.0
42,285.5,45.0
43,386.0,7.0
44,478.5,9.0
45,546.5,15.0
46,351.5,40.0
47,791.5,41.0
48,264.0,44.0
49,398.5,2.0
50,346.5,16.0
51,492.0,26.0
52,438.0,30.0
53,390.5,36.0
54,397.0,3.0
55,389.5,6.0
56,385.0,7.0
57,402.0,22.0
58,85.0,25.0
59,885.0,33.0
60,472.0,35.0
61,467.5,35.0
62,436.5,19.0
63,404.5,32.0
64,341.5,33.0
65,395.0,35.0
66,331.5,40.0
67,400.0,1.0
68,352.5,14.0
69,527.5,19.0
70,354.5,34.0
71,797.0,35.0
72,-305.0,36.0
73,400.0,1.0
74,497.5,3.0
75,530.5,17.0
76,437.0,18.0
77,345.0,38.0
78,857.5,45.0
79,269.5,45.0
80,400.0,1.0
81,343.0,15.0
82,398.5,31.0
83,371.5,34.0
84,780.5,35.0
85,330.5,37.0
86,363.0,41.0
87,334.5,17.0
88,518.0,19.0
89,441.5,26.0
90,460.5,30.0
91,456.0,34.0
92,921.0,50.0
93,916.0,53.0
94,109.5,54.0
95,398.5,2.0
96,482.0,8.0
97,455.0,25.0
98,394.5,32.0
99,398.5,2.0
100,486.5,7.0
101,465.0,12.0
102,487.0,23.0
103,396.0,24.0
104,832.5,36.0
105,344.5,40.0
106,474.5,11.0
107,452.0,14.0
108,352.5,16.0
109,18.0,20.0
110,996.0,29.0
111,430.5,30.0
112,439.5,32.0
113,320.0,37.0
114,480.0,9.0
115,486.0,23.0
116,485.5,23.0
117,386.5,34.0
118,471.5,34.0
119,414.5,34.0
120,373.0,10.0
121,391.5,37.0
122,309.0,40.0
123,400.0,1.0
124,389.5,6.0
125,402.5,22.0
126,443.0,37.0
127,603.5,54.0
128,212.5,60.0
129,400.0,1.0
130,350.0,15.0
131,413.0,19.0
132,475.5,24.0
133,836.0,30.0
134,372.5,33.0
135,430.5,17.0
136,420.0,18.0
137,430.5,28.0
138,370.5,32.0
139,415.5,32.0
140,315.5,21.0
141,489.0,25.0
142,344.5,38.0
143,351.0,38.0
144,425.0,47.0
145,332.0,47.0
146,396.5,3.0
147,362.5,12.0
148,386.0,26.0
149,385.5,34.0
150,423.5,37.0
151,321.5,39.0
152,381.0,8.0
153,475.5,10.0
154,518.5,20.0
155,381.0,8.0
156,305.5,21.0
157,375.5,26.0
158,469.0,28.0
159,400.0,1.0
160,366.0,11.0
161,414.0,22.0
162,480.5,25.0
163,430.5,32.0
164,394.0,4.0
165,479.0,9.0
166,289.0,26.0
167,434.0,31.0
168,388.5,38.0
169,646.5,52.0
170,822.5,60.0
171,800.0,67.0
172,551.5,67.0
173,628.5,87.0
174,981.5,87.0
175,1018.0,91.0
176,1184.0,92.0
177,1132.0,104.0
178,-179.5,116.0
179,395.0,4.0
180,385.0,7.0
181,377.5,9.0
182,454.0,14.0
183,453.0,16.0
184,409.5,30.0
185,360.5,12.0
186,463.5,14.0
187,-266.0,15.0
188,412.5,19.0
189,433.5,27.0
190,397.0,33.0
191,368.0,11.0
192,451.0,17.0
193,448.0,19.0
194,510.0,34.0
195,316.0,35.0
196,362.0,49.0
197,392.5,5.0
198,454.0,14.0
199,381.0,26.0
200,347.0,31.0
