episode,return_per_episode,num_frames_per_episode
1,-324.5,4.0
2,-324.5,4.0
3,-324.5,4.0
4,-324.5,4.0
5,-324.5,4.0
6,-324.5,4.0
7,-185.0,20.0
8,-185.0,20.0
9,-185.0,20.0
10,-185.0,20.0
11,-185.0,20.0
12,-185.0,20.0
13,365.0,40.0
14,365.0,40.0
15,365.0,40.0
16,365.0,40.0
17,365.0,40.0
18,365.0,40.0
19,414.5,32.0
20,414.5,32.0
21,414.5,32.0
22,414.5,32.0
23,414.5,32.0
24,414.5,32.0
25,185.5,60.0
26,185.5,60.0
27,185.5,60.0
28,185.5,60.0
29,185.5,60.0
30,185.5,60.0
31,393.0,34.0
32,393.0,34.0
33,393.0,34.0
34,393.0,34.0
35,393.0,34.0
36,393.0,34.0
37,190.5,52.0
38,190.5,52.0
39,190.5,52.0
40,190.5,52.0
41,190.5,52.0
42,190.5,52.0
43,383.5,41.0
44,383.5,41.0
45,383.5,41.0
46,383.5,41.0
47,383.5,41.0
48,383.5,41.0
49,-273.0,28.0
50,-273.0,28.0
51,-273.0,28.0
52,-273.0,28.0
53,-273.0,28.0
54,-273.0,28.0
55,-285.5,33.0
56,-285.5,33.0
57,-285.5,33.0
58,-285.5,33.0
59,-285.5,33.0
60,-285.5,33.0
61,-116.5,88.0
62,-116.5,88.0
63,-116.5,88.0
64,-116.5,88.0
65,-116.5,88.0
66,-116.5,88.0
67,-360.5,129.0
68,-360.5,129.0
69,-360.5,129.0
70,-360.5,129.0
71,-360.5,129.0
72,-360.5,129.0
73,403.0,33.0
74,403.0,33.0
75,403.0,33.0
76,403.0,33.0
77,403.0,33.0
78,403.0,33.0
79,-4.5,66.0
80,-4.5,66.0
81,-4.5,66.0
82,-4.5,66.0
83,-4.5,66.0
84,-4.5,66.0
85,515.0,21.0
86,515.0,21.0
87,515.0,21.0
88,515.0,21.0
89,515.0,21.0
90,515.0,21.0
91,521.0,21.0
92,521.0,21.0
93,521.0,21.0
94,521.0,21.0
95,521.0,21.0
96,521.0,21.0
97,-389.5,28.0
98,-389.5,28.0
99,-389.5,28.0
100,-389.5,28.0
101,-389.5,28.0
102,-389.5,28.0
103,354.5,41.0
104,354.5,41.0
105,354.5,41.0
106,354.5,41.0
107,354.5,41.0
108,354.5,41.0
109,239.0,49.0
110,239.0,49.0
111,239.0,49.0
112,239.0,49.0
113,239.0,49.0
114,239.0,49.0
115,349.5,35.0
116,349.5,35.0
117,349.5,35.0
118,349.5,35.0
119,349.5,35.0
120,349.5,35.0
121,-344.0,97.0
122,-344.0,97.0
123,-344.0,97.0
124,-344.0,97.0
125,-344.0,97.0
126,-344.0,97.0
127,427.5,29.0
128,427.5,29.0
129,427.5,29.0
130,427.5,29.0
131,427.5,29.0
132,427.5,29.0
133,170.5,61.0
134,170.5,61.0
135,170.5,61.0
136,170.5,61.0
137,170.5,61.0
138,170.5,61.0
139,292.5,45.0
140,292.5,45.0
141,292.5,45.0
142,292.5,45.0
143,292.5,45.0
144,292.5,45.0
145,-380.5,35.0
146,-380.5,35.0
147,-380.5,35.0
148,-380.5,35.0
149,-380.5,35.0
150,-380.5,35.0
151,292.5,45.0
152,292.5,45.0
153,292.5,45.0
154,292.5,45.0
155,292.5,45.0
156,292.5,45.0
157,38.0,79.0
158,38.0,79.0
159,38.0,79.0
160,38.0,79.0
161,38.0,79.0
162,38.0,79.0
163,-71.0,99.0
164,-71.0,99.0
165,-71.0,99.0
166,-71.0,99.0
167,-71.0,99.0
168,-71.0,99.0
169,-1005.5,98.0
170,-1005.5,98.0
171,-1005.5,98.0
172,-1005.5,98.0
173,-1005.5,98.0
174,-1005.5,98.0
175,296.0,42.0
176,296.0,42.0
177,296.0,42.0
178,296.0,42.0
179,296.0,42.0
180,296.0,42.0
181,334.0,38.0
182,334.0,38.0
183,334.0,38.0
184,334.0,38.0
185,334.0,38.0
186,334.0,38.0
187,336.5,44.0
188,336.5,44.0
189,336.5,44.0
190,336.5,44.0
191,336.5,44.0
192,336.5,44.0
193,-43.5,77.0
194,-43.5,77.0
195,-43.5,77.0
196,-43.5,77.0
197,-43.5,77.0
198,-43.5,77.0
199,399.0,31.0
200,399.0,31.0
