episode,return_per_episode,num_frames_per_episode
1,-316.5,3.0
2,-316.5,3.0
3,-316.5,3.0
4,-316.5,3.0
5,-316.5,3.0
6,-316.5,3.0
7,-327.5,3.0
8,-327.5,3.0
9,-327.5,3.0
10,-327.5,3.0
11,-327.5,3.0
12,-327.5,3.0
13,-327.5,3.0
14,-327.5,3.0
15,-327.5,3.0
16,-327.5,3.0
17,-327.5,3.0
18,-327.5,3.0
19,-325.0,3.0
20,-325.0,3.0
21,-325.0,3.0
22,-325.0,3.0
23,-325.0,3.0
24,-325.0,3.0
25,-339.0,4.0
26,-339.0,4.0
27,-339.0,4.0
28,-339.0,4.0
29,-339.0,4.0
30,-339.0,4.0
31,-340.0,6.0
32,-340.0,6.0
33,-340.0,6.0
34,-340.0,6.0
35,-340.0,6.0
36,-340.0,6.0
37,-328.5,3.0
38,-328.5,3.0
39,-328.5,3.0
40,-328.5,3.0
41,-328.5,3.0
42,-328.5,3.0
43,-326.0,3.0
44,-326.0,3.0
45,-326.0,3.0
46,-326.0,3.0
47,-326.0,3.0
48,-326.0,3.0
49,-313.5,2.0
50,-313.5,2.0
51,-313.5,2.0
52,-313.5,2.0
53,-313.5,2.0
54,-313.5,2.0
55,-300.0,1.0
56,-300.0,1.0
57,-300.0,1.0
58,-300.0,1.0
59,-300.0,1.0
60,-300.0,1.0
61,-312.0,2.0
62,-312.0,2.0
63,-312.0,2.0
64,-312.0,2.0
65,-312.0,2.0
66,-312.0,2.0
67,-314.5,2.0
68,-314.5,2.0
69,-314.5,2.0
70,-314.5,2.0
71,-314.5,2.0
72,-314.5,2.0
73,-300.0,1.0
74,-300.0,1.0
75,-300.0,1.0
76,-300.0,1.0
77,-300.0,1.0
78,-300.0,1.0
79,-314.0,2.0
80,-314.0,2.0
81,-314.0,2.0
82,-314.0,2.0
83,-314.0,2.0
84,-314.0,2.0
85,-312.5,2.0
86,-312.5,2.0
87,-312.5,2.0
88,-312.5,2.0
89,-312.5,2.0
90,-312.5,2.0
91,-318.5,3.0
92,-318.5,3.0
93,-318.5,3.0
94,-318.5,3.0
95,-318.5,3.0
96,-318.5,3.0
97,-300.0,1.0
98,-300.0,1.0
99,-300.0,1.0
100,-300.0,1.0
101,-300.0,1.0
102,-300.0,1.0
103,-250.0,19.0
104,-250.0,19.0
105,-250.0,19.0
106,-250.0,19.0
107,-250.0,19.0
108,-250.0,19.0
109,-323.5,3.0
110,-323.5,3.0
111,-323.5,3.0
112,-323.5,3.0
113,-323.5,3.0
114,-323.5,3.0
115,-330.0,3.0
116,-330.0,3.0
117,-330.0,3.0
118,-330.0,3.0
119,-330.0,3.0
120,-330.0,3.0
121,-300.0,1.0
122,-300.0,1.0
123,-300.0,1.0
124,-300.0,1.0
125,-300.0,1.0
126,-300.0,1.0
127,-326.0,3.0
128,-326.0,3.0
129,-326.0,3.0
130,-326.0,3.0
131,-326.0,3.0
132,-326.0,3.0
133,-355.0,5.0
134,-355.0,5.0
135,-355.0,5.0
136,-355.0,5.0
137,-355.0,5.0
138,-355.0,5.0
139,-300.0,1.0
140,-300.0,1.0
141,-300.0,1.0
142,-300.0,1.0
143,-300.0,1.0
144,-300.0,1.0
145,-330.5,3.0
146,-330.5,3.0
147,-330.5,3.0
148,-330.5,3.0
149,-330.5,3.0
150,-330.5,3.0
151,-368.5,7.0
152,-368.5,7.0
153,-368.5,7.0
154,-368.5,7.0
155,-368.5,7.0
156,-368.5,7.0
157,-343.0,5.0
158,-343.0,5.0
159,-343.0,5.0
160,-343.0,5.0
161,-343.0,5.0
162,-343.0,5.0
163,-365.5,6.0
164,-365.5,6.0
165,-365.5,6.0
166,-365.5,6.0
167,-365.5,6.0
168,-365.5,6.0
169,-300.0,1.0
170,-300.0,1.0
171,-300.0,1.0
172,-300.0,1.0
173,-300.0,1.0
174,-300.0,1.0
175,-331.5,4.0
176,-331.5,4.0
177,-331.5,4.0
178,-331.5,4.0
179,-331.5,4.0
180,-331.5,4.0
181,-300.0,1.0
182,-300.0,1.0
183,-300.0,1.0
184,-300.0,1.0
185,-300.0,1.0
186,-300.0,1.0
187,-350.0,6.0
188,-350.0,6.0
189,-350.0,6.0
190,-350.0,6.0
191,-350.0,6.0
192,-350.0,6.0
193,-300.0,1.0
194,-300.0,1.0
195,-300.0,1.0
196,-300.0,1.0
197,-300.0,1.0
198,-300.0,1.0
199,-300.0,1.0
200,-300.0,1.0
