episode,return_per_episode,num_frames_per_episode
1,-386.5,14.0
2,-386.5,14.0
3,-386.5,14.0
4,-386.5,14.0
5,-272.5,33.0
6,-272.5,33.0
7,-421.5,53.0
8,-418.5,53.0
9,-319.0,3.0
10,-339.0,5.0
11,-339.0,5.0
12,-788.0,26.0
13,-371.0,27.0
14,-316.5,3.0
15,-627.0,7.0
16,-360.5,8.0
17,-933.0,9.0
18,-239.0,28.0
19,-300.0,1.0
20,-307.5,2.0
21,-320.0,6.0
22,-338.0,6.0
23,-352.0,10.0
24,-385.5,10.0
25,-376.5,19.0
26,-395.5,23.0
27,-287.5,30.0
28,388.5,53.0
29,-300.0,1.0
30,-315.5,3.0
31,-497.0,24.0
32,-797.0,25.0
33,-714.0,31.0
34,-1029.0,34.0
35,-652.5,37.0
36,-970.5,52.0
37,248.5,56.0
38,-266.5,21.0
39,-348.0,11.0
40,-363.0,18.0
41,-518.0,24.0
42,-809.0,59.0
43,-856.0,60.0
44,-429.5,60.0
45,392.5,5.0
46,-203.0,13.0
47,-417.5,27.0
48,-316.0,29.0
49,-333.0,35.0
50,-719.0,40.0
51,-298.0,47.0
52,-125.5,6.0
53,297.5,19.0
54,-539.5,22.0
55,-683.0,47.0
56,-550.0,51.0
57,-320.0,3.0
58,-319.0,3.0
59,-341.5,6.0
60,-354.5,10.0
61,-373.0,10.0
62,-316.5,4.0
63,-341.0,10.0
64,-310.5,3.0
65,-647.5,8.0
66,-968.5,12.0
67,-294.5,19.0
68,-300.0,1.0
69,-364.5,9.0
70,-379.0,11.0
71,-612.0,38.0
72,423.0,41.0
73,-923.5,42.0
74,-260.5,50.0
75,-204.0,13.0
76,-309.5,13.0
77,-308.0,2.0
78,-300.0,1.0
79,-290.0,15.0
80,-524.5,43.0
81,377.0,45.0
82,-315.5,5.0
83,-357.5,6.0
84,-310.0,17.0
85,-508.0,35.0
86,-735.5,51.0
87,-768.0,59.0
88,-758.0,65.0
89,-1042.5,76.0
90,-728.0,82.0
91,-246.0,17.0
92,275.0,24.0
93,-555.5,37.0
94,-307.5,45.0
95,-330.5,6.0
96,-261.0,20.0
97,397.0,3.0
98,-344.0,16.0
99,-697.0,24.0
100,-38.5,24.0
101,-1037.5,31.0
102,-514.0,33.0
103,-383.5,34.0
104,-1358.0,38.0
105,-690.5,48.0
106,-1690.5,63.0
107,-537.5,66.0
108,-320.0,4.0
109,-321.5,4.0
110,-137.5,6.0
111,-176.5,20.0
112,-381.0,8.0
113,378.0,9.0
114,48.5,13.0
115,-720.5,34.0
116,-1044.5,38.0
117,-297.0,49.0
118,397.0,3.0
119,84.0,6.0
120,-371.0,10.0
121,-282.0,19.0
122,-600.5,22.0
123,-299.0,32.0
124,-330.0,7.0
125,-360.0,10.0
126,-311.0,2.0
127,-305.5,2.0
128,-630.0,6.0
129,-678.5,13.0
130,-363.0,17.0
131,-249.5,9.0
132,-283.0,11.0
133,-683.5,22.0
134,-464.0,54.0
135,391.5,5.0
136,-479.5,23.0
137,-388.0,35.0
138,-321.5,4.0
139,-144.0,8.0
140,-287.5,13.0
141,-638.5,20.0
142,-975.5,28.0
143,-469.5,35.0
144,-1140.5,38.0
145,-797.0,39.0
146,-1008.5,59.0
147,-1379.0,61.0
148,420.0,77.0
149,-427.0,11.0
150,-237.0,21.0
151,-492.0,24.0
152,-801.0,26.0
153,-1101.0,27.0
154,-690.5,31.0
155,-1000.5,33.0
156,-1309.5,35.0
157,-1609.5,36.0
158,-1481.5,39.0
159,-1990.0,48.0
160,-420.0,48.0
161,-309.0,3.0
162,-248.5,8.0
163,-345.0,8.0
164,-201.0,2.0
165,-385.5,10.0
166,-334.5,8.0
167,-341.0,22.0
168,-379.5,23.0
169,-521.5,46.0
170,-863.5,53.0
171,-469.5,55.0
172,-664.5,64.0
173,-1244.5,66.0
174,-483.5,69.0
175,-321.0,4.0
176,-684.5,14.0
177,-214.0,27.0
178,356.0,42.0
179,5.0,50.0
180,254.0,55.0
181,-320.5,3.0
182,-394.5,21.0
183,-311.5,29.0
184,-486.5,24.0
185,-406.0,21.0
186,342.5,24.0
187,5.0,31.0
188,-309.0,34.0
189,444.5,48.0
190,-670.0,54.0
191,-300.0,1.0
192,-306.0,4.0
193,-307.5,2.0
194,-305.5,2.0
195,-406.0,12.0
196,-379.5,14.0
197,-242.5,16.0
198,-310.5,2.0
199,-452.0,17.0
200,-255.0,35.0
