episode,return_per_episode,num_frames_per_episode
1,-349.0,35.0
2,-319.5,5.0
3,-323.5,5.0
4,-323.5,5.0
5,496.0,27.0
6,-311.5,3.0
7,-311.5,3.0
8,389.5,6.0
9,-357.5,11.0
10,-521.0,19.0
11,-521.0,19.0
12,113.0,24.0
13,-601.5,30.0
14,251.5,33.0
15,320.0,47.0
16,-324.0,4.0
17,-324.0,4.0
18,-379.5,7.0
19,-423.0,10.0
20,-490.5,16.0
21,-490.5,16.0
22,475.0,35.0
23,-308.0,2.0
24,-670.5,8.0
25,-352.5,10.0
26,-400.5,14.0
27,-679.0,15.0
28,-230.5,15.0
29,372.5,10.0
30,-367.0,16.0
31,-337.0,12.0
32,326.0,26.0
33,-389.0,26.0
34,-557.5,36.0
35,-499.5,43.0
36,43.5,47.0
37,-722.5,48.0
38,31.0,52.0
39,249.0,52.0
40,-325.5,4.0
41,-173.0,10.0
42,311.5,18.0
43,-30.5,23.0
44,-342.5,29.0
45,-566.5,30.0
46,-311.0,30.0
47,377.0,10.0
48,-427.5,19.0
49,-742.0,21.0
50,-363.0,22.0
51,-300.0,1.0
52,-374.5,7.0
53,-300.0,1.0
54,-326.5,5.0
55,-369.5,11.0
56,-269.5,26.0
57,389.5,36.0
58,-641.0,37.0
59,-534.5,46.0
60,-419.0,11.0
61,-403.5,15.0
62,366.0,17.0
63,-711.0,17.0
64,66.0,18.0
65,-299.0,27.0
66,-478.0,37.0
67,-1191.5,40.0
68,289.0,45.0
69,362.0,11.0
70,-278.5,11.0
71,-304.0,20.0
72,-194.5,11.0
73,-350.0,24.0
74,-650.0,25.0
75,465.0,25.0
76,-300.0,1.0
77,-300.0,1.0
78,-337.0,4.0
79,363.5,10.0
80,-734.5,12.0
81,-211.5,21.0
82,-221.0,22.0
83,-300.0,1.0
84,-348.5,4.0
85,-326.5,3.0
86,-328.5,5.0
87,-380.5,14.0
88,-223.0,20.0
89,-478.5,27.0
90,372.0,37.0
91,-322.5,4.0
92,-633.5,6.0
93,-345.0,9.0
94,-492.0,16.0
95,-255.5,23.0
96,398.5,31.0
97,-321.0,3.0
98,391.0,6.0
99,341.0,13.0
100,354.5,14.0
101,152.0,25.0
102,187.0,32.0
103,-3.5,36.0
104,-338.5,39.0
105,387.5,42.0
106,5.5,44.0
107,194.5,54.0
108,395.5,4.0
109,-322.5,8.0
110,-336.0,10.0
111,337.5,16.0
112,-321.5,18.0
113,-398.5,11.0
114,-373.5,13.0
115,-302.5,19.0
116,394.0,4.0
117,-420.5,11.0
118,-326.5,8.0
119,377.5,9.0
120,554.5,15.0
121,-452.0,19.0
122,269.0,24.0
123,-12.5,38.0
124,-607.0,39.0
125,-387.0,7.0
126,372.0,10.0
127,-436.0,11.0
128,310.5,18.0
129,-244.0,20.0
130,-677.0,23.0
131,134.0,30.0
132,-7.5,40.0
133,-739.5,41.0
134,243.5,41.0
135,-372.0,7.0
136,426.5,17.0
137,121.0,19.0
138,-256.5,27.0
139,-621.5,29.0
140,404.5,31.0
141,-320.5,32.0
142,-966.5,35.0
143,357.5,38.0
144,385.5,7.0
145,21.0,13.0
146,-269.0,19.0
147,371.5,10.0
148,346.0,14.0
149,128.0,16.0
150,307.5,19.0
151,510.0,22.0
152,-344.5,4.0
153,387.5,7.0
154,-213.0,13.0
155,-754.0,15.0
156,-313.5,17.0
157,334.5,14.0
158,-197.0,14.0
159,34.5,15.0
160,-225.0,16.0
161,274.5,27.0
162,476.5,29.0
163,398.5,2.0
164,-328.5,4.0
165,-270.0,22.0
166,-319.5,4.0
167,375.5,8.0
168,75.5,9.0
169,-421.0,13.0
170,-327.5,3.0
171,-654.0,8.0
172,370.0,11.0
173,344.0,15.0
174,-174.5,19.0
175,-488.0,21.0
176,-300.0,1.0
177,-300.0,1.0
178,-600.0,2.0
179,531.0,17.0
180,-460.5,18.0
181,-344.0,7.0
182,-421.5,11.0
183,-300.0,1.0
184,-300.0,1.0
185,-653.5,8.0
186,-977.0,12.0
187,-450.0,16.0
188,-245.0,24.0
189,363.0,12.0
190,-159.5,13.0
191,-385.0,15.0
192,-58.0,25.0
193,482.0,25.0
194,-421.0,12.0
195,-393.0,14.0
196,-360.5,19.0
197,-686.5,31.0
198,-668.5,38.0
199,-525.5,49.0
200,552.5,13.0
