update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
34,34816,1866.1843500023897,18,-1348.59375,739.149050825297,-2917.0,-464.0,96.875,83.39205222921427,14.0,311.0,0.9793854430317879,-26.628467798233032,189.1750373840332,39962.02294921875,240.15720034781202
35,35840,1922.103551823797,19,-1519.875,1521.7772863908174,-5447.5,-336.0,108.875,132.8424230997011,3.0,450.0,0.9071688652038574,-27.24775528907776,152.40446281433105,25058.33056640625,247.56540435678204
36,36864,1897.2312563609635,19,-1228.8333333333333,862.8267497012364,-2658.5,-300.0,88.33333333333333,86.61280377506421,1.0,244.0,0.9787891209125519,-27.86209750175476,165.14076232910156,30668.564697265625,101.43847319008917
37,37888,1900.7450782719063,20,-1333.4615384615386,1151.8814619425316,-4032.5,-300.0,96.15384615384616,113.7222298503251,1.0,371.0,0.9738129153847694,-28.47589373588562,173.28562927246094,34045.30810546875,32.98803473482898
38,38912,1869.5848210321406,20,-1396.7727272727273,1231.356538789572,-4892.5,-324.0,113.72727272727273,125.58017425250395,3.0,450.0,0.8908471912145615,-29.09113073348999,159.64684295654297,28979.37451171875,60.17011680616114
39,39936,1929.3286675716688,21,-1472.95,1068.8948603581177,-3926.0,-339.0,110.2,99.42917076995062,4.0,346.0,0.8905932009220123,-29.697568893432617,158.8577651977539,29503.56640625,63.135445273332884
40,40960,1922.101831448063,21,-1066.5555555555557,727.4004874453979,-2614.5,-289.0,70.0,55.035342180174446,3.0,156.0,0.8804255202412605,-30.307153701782227,131.07984161376953,21376.37060546875,51.77534976192642
41,41984,1966.2873218596503,22,-1148.875,678.6349695344325,-2445.0,-289.0,94.875,73.79775995922911,3.0,244.0,0.899966835975647,-30.917680025100708,134.71558570861816,20797.409423828125,41.56844378502072
42,43008,1907.8102196330492,22,-1634.3333333333333,1197.9672134263294,-3599.5,-459.0,177.0,175.98358509310526,13.0,450.0,0.8725140690803528,-31.51953649520874,154.72227096557617,26827.75634765625,50.955729497023086
43,44032,1872.997707032146,23,-1647.0555555555557,1050.4164106688686,-3329.5,-300.0,138.55555555555554,114.0118035907892,1.0,358.0,0.8349222019314766,-32.098326683044434,157.842679977417,28638.468505859375,95.28834857378116
44,45056,1914.9297873051896,24,-1436.75,918.2813430534239,-3279.5,-300.0,118.0,104.02283403176439,1.0,358.0,0.8214180693030357,-32.636950969696045,139.31416511535645,21254.62890625,92.51506747415195
45,46080,1947.6322352594407,24,-2036.6875,894.776366526156,-3406.5,-719.0,184.125,97.44798291909382,57.0,315.0,0.9148263186216354,-33.22634220123291,155.0801124572754,26539.9072265625,40.349023841101435
46,47104,1883.30658359884,25,-1826.2,1895.8165021963491,-5946.5,-340.0,152.1,181.13555697322377,7.0,450.0,0.8927187994122505,-33.82148504257202,153.2511978149414,27833.7548828125,44.01052610148005
47,48128,1943.9413273757905,25,-1814.5625,1047.6355054806752,-4247.0,-329.0,137.0,125.04299260654314,3.0,450.0,0.9216184690594673,-34.38262319564819,139.93410873413086,24143.234375,34.92417380578742
48,49152,1849.3746293148995,26,-1064.0714285714287,971.2728919372994,-3945.0,-326.0,84.85714285714286,117.84545396581134,3.0,450.0,0.9585205912590027,-34.93757724761963,153.93860244750977,27448.433349609375,101.46340463870017
49,50176,1947.633118449645,26,-1303.3333333333333,648.1662166793673,-2628.0,-475.0,107.88888888888889,90.4156383283389,17.0,319.0,0.8996147885918617,-35.498201847076416,156.4547824859619,28632.079345703125,91.75085347812265
50,51200,1929.3252009073963,27,-1887.625,1119.7148841892742,-4502.0,-578.5,175.0,118.01377038295149,47.0,450.0,1.0313411951065063,-36.082505226135254,162.80211639404297,29897.11572265625,43.31787820122037
51,52224,1893.7329071115835,27,-1099.7,715.3088563690512,-2344.0,-335.0,72.5,56.09322597248263,6.0,161.0,1.0142364203929901,-36.69978427886963,156.57224464416504,27491.734619140625,34.41240165730508
52,53248,1918.50953499799,28,-1221.8333333333333,1205.0682507181446,-4901.5,-211.5,95.8,119.0340007448852,1.0,450.0,0.9713188856840134,-37.296987533569336,155.97232055664062,27386.646728515625,58.4987201322305
53,54272,1922.0992508902364,28,-857.4545454545455,439.72907229883424,-1976.5,-327.0,49.18181818181818,40.153836410888516,3.0,157.0,1.03718301653862,-37.882771492004395,170.79580307006836,32426.76171875,164.27852525858086
54,55296,1911.3642242405551,29,-1298.15,1330.1643516874146,-5046.5,-300.0,91.0,109.09628774619236,1.0,378.0,1.0724666863679886,-38.477628231048584,153.43158340454102,27394.44287109375,45.94374032038376
55,56320,1876.4214365415214,29,-1560.0625,1245.0075661793185,-3811.0,-194.0,148.375,141.16031444779372,13.0,384.0,1.0316605418920517,-39.07462930679321,152.39059257507324,25429.409912109375,197.02574179510242
56,57344,1872.997707032146,30,-1243.21875,1307.1912872733806,-5320.5,-314.0,91.4375,115.86898244892807,2.0,450.0,1.05992591381073,-39.664291858673096,163.0957736968994,29631.404296875,53.24982602623889
57,58368,1883.3032803490387,31,-841.775,691.6161232034717,-3419.0,-300.0,56.3,70.75104239514779,1.0,321.0,1.0514743626117706,-40.27059984207153,168.69511795043945,32092.315185546875,114.86645330983669
