update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
15,15360,2308.7460999632854,6,-784.2777777777778,539.8676335254735,-2066.5,-300.0,47.55555555555556,54.26296283656532,1.0,211.0,0.9658239483833313,-17.376914501190186,195.06778717041016,41618.0,62.19826215982863
16,16384,2356.5186333733864,7,-1645.4375,1007.1801426972983,-3741.0,-371.5,109.75,64.59827784082174,8.0,225.0,1.0001004040241241,-18.186603546142578,182.28618240356445,36992.9677734375,120.81857714716624
17,17408,2372.8799556690715,7,-1848.1,1500.4912495579574,-5798.0,-385.0,133.1,123.75415144551715,18.0,443.0,0.8447460383176804,-18.9991397857666,170.47395706176758,34820.12890625,72.8315693443235
18,18432,2345.732016509273,8,-1156.3125,808.7361643909279,-2746.5,-366.0,99.75,92.2886098064111,7.0,258.0,0.8135363608598709,-19.826942920684814,140.8000030517578,22603.82177734375,112.13636546816022
19,19456,2351.113596601671,8,-1537.5625,714.3470111533679,-2562.5,-453.0,134.25,93.26809475914044,17.0,326.0,0.7504216879606247,-20.664150714874268,152.64825439453125,27675.04296875,49.7914454327676
20,20480,2367.398386298419,9,-1482.7777777777778,825.3115947295674,-3356.0,-571.0,122.22222222222223,91.02597648507665,36.0,301.0,0.6814318597316742,-21.5018892288208,176.4121551513672,34135.466796875,74.09173481708203
21,21504,2367.3944715543953,9,-1297.5,660.2336234243148,-2127.0,-396.0,115.375,87.03294993851466,9.0,251.0,0.9780798256397247,-22.32694387435913,172.0083999633789,33387.7177734375,129.6587042217294
22,22528,2228.445293975421,9,-922.418918918919,1010.9401131346887,-4588.5,-300.0,54.270270270270274,77.61152347172828,1.0,293.0,0.9962979406118393,-23.15020227432251,184.10100936889648,39637.6572265625,85.41258738075757
23,23552,2247.990164248467,10,-688.7619047619048,314.81864087755497,-1337.5,-311.0,44.285714285714285,40.22335599309112,2.0,149.0,1.0651448965072632,-23.965540885925293,164.22243118286133,31670.849609375,82.24527162100118
24,24576,2313.966603200464,10,-765.4117647058823,412.45446220280303,-1832.5,-346.5,46.8235294117647,40.37651515149056,5.0,140.0,1.0387090146541595,-24.77867078781128,178.35654830932617,35015.015625,68.55188507568592
25,25600,2277.960679818653,11,-966.8947368421053,512.7084577065976,-2002.0,-300.0,64.15789473684211,48.508559372650645,1.0,192.0,1.0628750622272491,-25.58562135696411,184.82335662841797,37632.30859375,62.70095382026133
26,26624,2319.188227181741,11,-976.4473684210526,627.1091757282367,-2596.5,-305.5,54.10526315789474,42.293329991534755,2.0,150.0,0.9578930735588074,-26.390233993530273,195.6303253173828,42746.96484375,159.0695226356835
27,27648,2298.3938925938173,12,-991.125,423.5106071576012,-1852.5,-351.5,69.125,33.05842366175375,5.0,131.0,0.9102349728345871,-27.187087535858154,164.7761001586914,29426.26904296875,59.205183878635665
28,28672,2324.4523402461286,12,-1429.5,1001.5394514083171,-3276.5,-306.0,93.36363636363636,91.35572105016216,2.0,302.0,0.8518515080213547,-27.986918926239014,175.50167083740234,35881.5390625,47.18593967034334
29,29696,2356.512168638672,13,-1349.0,724.1691359758437,-2532.5,-392.0,92.875,71.81997894040349,9.0,214.0,0.7884022295475006,-28.776264190673828,161.1255760192871,30000.353515625,157.80198727621487
30,30720,2303.556512383521,13,-2033.2272727272727,1551.3325263907852,-5267.0,-334.5,170.9090909090909,141.74654367789043,4.0,450.0,0.8411211222410202,-29.568028926849365,155.07685470581055,27698.08740234375,57.64512576684231
