update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
1,1024,1857.0398326186883,0,-529.8783783783783,249.96965776424892,-1176.5,-268.0,22.35135135135135,22.136207610226254,1.0,85.0,1.0922225713729858,-0.909960463643074,202.77109909057617,46968.7841796875,56.21523974417152
update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
2,2048,2158.0635545763103,1,-531.025,288.1107848987955,-1627.5,-260.0,26.775,33.26145479379998,1.0,169.0,1.091552346944809,-1.803464949131012,189.57190322875977,42233.6513671875,67.99368384823356
update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
3,3072,2190.3510075691356,1,-580.5588235294117,276.3753778486225,-1485.0,-300.0,28.11764705882353,25.204766946286348,1.0,110.0,1.0893608033657074,-2.911081910133362,200.35059356689453,45633.2578125,69.22502480980543
update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
4,4096,2195.0369280083733,1,-590.0967741935484,240.922368012912,-1075.5,-306.5,29.193548387096776,22.995678913640962,2.0,85.0,1.0790230333805084,-4.147110342979431,197.11893844604492,43706.5146484375,55.514603137545656
update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
5,5120,2162.6220020140986,2,-626.75,378.9109339057575,-2275.0,-300.0,32.1,35.96882909779893,1.0,195.0,1.080526739358902,-5.4608999490737915,193.8010139465332,42116.470703125,100.19779395784224
update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
6,6144,2199.746320966687,2,-643.1111111111111,459.8752514688959,-2588.5,-243.5,36.851851851851855,49.71899085989378,1.0,254.0,1.0796506106853485,-6.7470234632492065,172.99711227416992,35695.37890625,124.94077029200375
update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
7,7168,2131.1494530173486,3,-681.5,365.46988019990556,-1964.0,-300.0,42.63333333333333,44.579130643036194,1.0,209.0,1.053536206483841,-7.89863121509552,192.8298110961914,42438.12109375,166.41114182980286
update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
8,8192,1837.0615756077427,3,-620.5,327.53843831133554,-1626.0,-300.0,31.914285714285715,31.79521206414704,1.0,128.0,1.079136997461319,-8.844688892364502,209.7843360900879,47986.2236328125,138.90450397948163
update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
9,9216,1722.7610337768024,4,-632.0833333333334,214.9967861516901,-1011.5,-299.0,34.208333333333336,22.807124556935175,6.0,77.0,1.0742576718330383,-9.594404697418213,188.58282852172852,39724.7021484375,70.89298221121007
update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
10,10240,2058.3962579556783,5,-736.1111111111111,476.1403141569007,-2083.5,-241.5,41.407407407407405,42.81766618725159,2.0,163.0,1.0521274209022522,-10.328877210617065,201.18396377563477,44518.18359375,99.35499065571172
11,11264,1788.974127363432,5,-603.9117647058823,245.02138173769757,-1115.0,-335.5,31.176470588235293,22.11530025096452,5.0,81.0,1.04557466506958,-10.902860403060913,164.1217384338379,30995.2744140625,105.27317638159475
12,12288,2233.2958060517317,6,-897.84375,592.2211558707925,-2487.0,-300.0,63.1875,62.30190481638583,1.0,205.0,1.0464021861553192,-11.60219120979309,164.48619079589844,31444.31005859375,134.86769163101258
13,13312,2062.5419815728837,6,-1291.3,954.820642843461,-2645.0,-309.0,108.4,110.11466750619556,2.0,318.0,0.9934011846780777,-12.261107444763184,158.31464004516602,28671.84619140625,210.34662089320665
14,14336,2252.9285913240346,7,-899.5357142857143,568.5070505997553,-2812.5,-451.0,60.214285714285715,51.576820058500495,14.0,231.0,1.0412025451660156,-12.952402114868164,172.3199691772461,33463.80908203125,127.34851469385589
15,15360,2233.2958060517317,7,-875.1388888888889,873.8312798875288,-3520.0,-300.0,59.0,93.73899935459093,1.0,335.0,1.0343144237995148,-13.590932369232178,174.81972885131836,34691.13232421875,69.79522262971773
16,16384,2167.19537351985,7,-1189.9583333333333,1304.797852452206,-5203.0,-279.0,86.08333333333333,113.76983953969915,1.0,431.0,1.024090439081192,-14.221136569976807,169.90073013305664,32620.494140625,262.453958726689
17,17408,2283.0354534982803,8,-959.0263157894736,961.2905589784826,-3551.5,-257.5,66.52631578947368,102.52669404447678,1.0,391.0,1.042043000459671,-14.817142486572266,173.52764892578125,34693.82421875,91.60095034605203
