episode,return_per_episode,num_frames_per_episode
1,-317.0,3.0
2,-317.0,3.0
3,-317.0,3.0
4,-317.0,3.0
5,-319.5,3.0
6,-319.5,3.0
7,-319.5,3.0
8,-319.5,3.0
9,-300.0,1.0
10,-300.0,1.0
11,-300.0,1.0
12,-300.0,1.0
13,-300.0,1.0
14,-300.0,1.0
15,-300.0,1.0
16,-300.0,1.0
17,-300.0,1.0
18,-300.0,1.0
19,-300.0,1.0
20,-300.0,1.0
21,-300.0,1.0
22,-300.0,1.0
23,-300.0,1.0
24,-300.0,1.0
25,-319.5,4.0
26,-319.5,4.0
27,-319.5,4.0
28,-319.5,4.0
29,-325.5,4.0
30,-325.5,4.0
31,-325.5,4.0
32,-325.5,4.0
33,-322.5,4.0
34,-322.5,4.0
35,-322.5,4.0
36,-322.5,4.0
37,-317.5,3.0
38,-317.5,3.0
39,-317.5,3.0
40,-317.5,3.0
41,-322.5,4.0
42,-322.5,4.0
43,-322.5,4.0
44,-322.5,4.0
45,-300.0,1.0
46,-300.0,1.0
47,-300.0,1.0
48,-300.0,1.0
49,-313.5,3.0
50,-313.5,3.0
51,-313.5,3.0
52,-313.5,3.0
53,-300.0,1.0
54,-300.0,1.0
55,-300.0,1.0
56,-300.0,1.0
57,-331.5,4.0
58,-331.5,4.0
59,-331.5,4.0
60,-331.5,4.0
61,-311.5,2.0
62,-311.5,2.0
63,-311.5,2.0
64,-311.5,2.0
65,-320.0,4.0
66,-320.0,4.0
67,-320.0,4.0
68,-320.0,4.0
69,-217.5,4.0
70,-217.5,4.0
71,-217.5,4.0
72,-217.5,4.0
73,-313.5,3.0
74,-313.5,3.0
75,-313.5,3.0
76,-313.5,3.0
77,-300.0,1.0
78,-300.0,1.0
79,-300.0,1.0
80,-300.0,1.0
81,-312.5,3.0
82,-312.5,3.0
83,-312.5,3.0
84,-312.5,3.0
85,-308.0,2.0
86,-308.0,2.0
87,-308.0,2.0
88,-308.0,2.0
89,-305.0,2.0
90,-305.0,2.0
91,-305.0,2.0
92,-305.0,2.0
93,-304.5,2.0
94,-304.5,2.0
95,-304.5,2.0
96,-304.5,2.0
97,-341.0,5.0
98,-341.0,5.0
99,-341.0,5.0
100,-341.0,5.0
101,-197.5,12.0
102,-197.5,12.0
103,-197.5,12.0
104,-197.5,12.0
105,-325.5,4.0
106,-325.5,4.0
107,-325.5,4.0
108,-325.5,4.0
109,-311.5,3.0
110,-311.5,3.0
111,-311.5,3.0
112,-311.5,3.0
113,-322.0,3.0
114,-322.0,3.0
115,-322.0,3.0
116,-633.5,5.0
117,-633.5,5.0
118,-633.5,5.0
119,-341.0,5.0
120,-324.0,4.0
121,-324.0,4.0
122,-324.0,4.0
123,-331.5,4.0
124,-316.0,3.0
125,-300.0,1.0
126,-300.0,1.0
127,-300.0,1.0
128,-600.0,2.0
129,-600.0,2.0
130,-600.0,2.0
131,-310.0,2.0
132,-310.5,2.0
133,-300.0,1.0
134,-300.0,1.0
135,-300.0,1.0
136,-302.0,2.0
137,-300.0,1.0
138,-300.0,1.0
139,-300.0,1.0
140,-606.0,3.0
141,-606.0,3.0
142,-606.0,3.0
143,-916.5,5.0
144,-916.5,5.0
145,-916.5,5.0
146,-1235.0,8.0
147,-1235.0,8.0
148,-1235.0,8.0
149,-1535.0,9.0
150,-1535.0,9.0
151,-1535.0,9.0
152,-1857.5,13.0
153,-1857.5,13.0
154,-1857.5,13.0
155,-2177.5,17.0
156,-2177.5,17.0
157,-2177.5,17.0
158,-2491.0,19.0
159,-2491.0,19.0
160,-2491.0,19.0
161,-206.0,24.0
162,-300.0,1.0
163,-300.0,1.0
164,-300.0,1.0
165,-615.5,4.0
166,-615.5,4.0
167,-615.5,4.0
168,-332.0,4.0
169,-304.0,2.0
170,-303.5,2.0
171,-303.5,2.0
172,-303.5,2.0
173,-310.0,2.0
174,-332.0,6.0
175,-332.0,6.0
176,-332.0,6.0
177,-336.0,6.0
178,-323.5,3.0
179,-323.5,3.0
180,-323.5,3.0
181,-316.5,3.0
182,-310.0,2.0
183,-310.0,2.0
184,-310.0,2.0
185,-309.0,2.0
186,-306.5,2.0
187,-319.5,4.0
188,-300.0,1.0
189,-300.0,1.0
190,-300.0,1.0
191,-312.5,3.0
192,-300.0,1.0
193,-300.0,1.0
194,-300.0,1.0
195,-600.0,2.0
196,-600.0,2.0
197,-600.0,2.0
198,-321.5,3.0
199,-307.5,2.0
200,-307.5,2.0
