episode,return_per_episode,num_frames_per_episode
1,-324.5,4.0
2,-324.5,4.0
3,-324.5,4.0
4,-507.5,23.0
5,-509.5,24.0
6,152.0,30.0
7,378.5,40.0
8,359.0,43.0
9,358.0,43.0
10,426.0,18.0
11,424.0,19.0
12,443.5,28.0
13,395.0,4.0
14,392.5,5.0
15,371.0,9.0
16,429.5,29.0
17,368.0,11.0
18,371.5,11.0
19,351.5,16.0
20,280.0,39.0
21,805.5,39.0
22,269.5,44.0
23,-17.0,59.0
24,671.5,64.0
25,186.5,72.0
26,347.5,15.0
27,182.5,42.0
28,767.0,50.0
29,394.0,50.0
30,99.5,62.0
31,118.0,65.0
32,389.0,6.0
33,267.0,26.0
34,323.5,35.0
35,345.0,35.0
36,-394.5,8.0
37,381.5,8.0
38,-781.0,18.0
39,420.0,22.0
40,228.5,31.0
41,405.5,36.0
42,323.5,39.0
43,389.5,6.0
44,362.0,12.0
45,387.5,26.0
46,699.5,50.0
47,30.5,68.0
48,720.5,70.0
49,408.0,86.0
50,-145.5,86.0
51,364.5,12.0
52,314.5,43.0
53,322.0,51.0
54,694.5,51.0
55,309.0,64.0
56,368.5,9.0
57,369.5,11.0
58,450.0,13.0
59,407.5,19.0
60,339.5,47.0
61,384.0,7.0
62,375.0,10.0
63,364.0,12.0
64,295.5,40.0
65,395.0,4.0
66,302.5,26.0
67,-44.0,50.0
68,555.5,56.0
69,348.0,56.0
70,-97.5,75.0
71,475.0,10.0
72,456.5,14.0
73,112.5,16.0
74,204.0,38.0
75,685.0,67.0
76,601.5,69.0
77,104.0,70.0
78,479.5,24.0
79,246.0,29.0
80,417.0,35.0
81,-361.5,60.0
82,108.0,60.0
83,-310.5,3.0
84,360.5,13.0
85,250.5,30.0
86,84.5,35.0
87,330.5,41.0
88,433.5,17.0
89,408.0,32.0
90,192.0,35.0
91,39.5,51.0
92,220.0,52.0
93,394.0,4.0
94,341.0,30.0
95,775.5,36.0
96,314.5,47.0
97,409.5,20.0
98,-196.5,31.0
99,209.0,34.0
100,-468.5,39.0
101,361.5,12.0
102,251.5,28.0
103,240.5,30.0
104,452.0,33.0
105,797.0,46.0
106,199.0,55.0
107,389.5,6.0
108,409.0,20.0
109,873.5,31.0
110,199.0,36.0
111,677.0,49.0
112,49.0,57.0
113,729.5,59.0
114,-5.5,77.0
115,481.5,9.0
116,484.0,9.0
117,184.0,10.0
118,358.5,12.0
119,361.5,36.0
120,740.0,46.0
121,-629.0,58.0
122,509.5,61.0
123,808.5,65.0
124,1240.5,68.0
125,1097.5,110.0
126,-359.0,119.0
127,424.0,135.0
128,201.5,136.0
129,1548.0,139.0
130,876.5,163.0
131,561.5,175.0
132,1850.0,186.0
133,347.0,187.0
134,1059.0,200.0
135,-450.0,205.0
136,1207.5,211.0
137,2211.0,221.0
138,1458.0,231.0
139,660.0,237.0
140,-191.5,254.0
141,1506.5,259.0
142,999.0,289.0
143,2272.0,291.0
144,736.5,305.0
145,1638.0,310.0
146,396.0,310.0
147,1053.5,313.0
148,2607.5,329.0
149,-154.0,347.0
150,1881.0,356.0
151,1346.5,363.0
152,2898.5,373.0
153,539.5,378.0
154,1729.0,400.0
155,80.5,411.0
156,1764.0,430.0
157,3023.0,432.0
158,1972.5,444.0
159,-3014.5,450.0
160,355.5,15.0
161,452.0,17.0
162,467.0,26.0
163,247.0,29.0
164,461.5,32.0
165,-342.0,8.0
166,445.0,16.0
167,317.5,20.0
168,317.5,29.0
169,326.5,40.0
170,-300.0,1.0
171,433.0,19.0
172,417.5,22.0
173,53.0,25.0
174,-256.5,28.0
175,462.5,29.0
176,-415.0,10.0
177,354.0,14.0
178,408.5,32.0
179,10.5,43.0
180,294.5,45.0
181,360.0,49.0
182,377.5,9.0
183,450.0,16.0
184,309.0,22.0
185,512.0,27.0
186,298.5,45.0
187,818.0,55.0
188,263.5,59.0
189,490.5,6.0
190,382.0,8.0
191,268.0,24.0
192,333.5,32.0
193,399.5,45.0
194,754.5,45.0
195,793.5,50.0
196,2.5,55.0
197,661.0,58.0
198,132.5,73.0
199,-333.5,8.0
200,453.0,18.0
